V9001,descricao.produto,tru.cod,tru.desc,produto.intermediacao,produto.intermediacao.internacional,produto.intermediacao.49002,produto.intermediacao.50001,produto.intermediacao.51001,produto.intermediacao.55001,produto.intermediacao.56001,produto.intermediacao.90801
2401607,CHURRO,56001,Serviços  de alimentação,,,,,,,,
2401608,RAPADURA,56001,Serviços  de alimentação,,,,,,,,
2401609,SONHO,56001,Serviços  de alimentação,,,,,,,,
2401610,BROA DE MILHO,56001,Serviços  de alimentação,,,,,,,,
2401611,BROA DE FUBA,56001,Serviços  de alimentação,,,,,,,,
2401612,PAMONHA,56001,Serviços  de alimentação,,,,,,,,
2401613,CURAU DE MILHO,56001,Serviços  de alimentação,,,,,,,,
2401614,TAPIOCA DOCE,56001,Serviços  de alimentação,,,,,,,,
2401615,ARROZ DOCE,56001,Serviços  de alimentação,,,,,,,,
2401616,PIPOCA DOCE,56001,Serviços  de alimentação,,,,,,,,
2401617,BOLINHO DOCE,56001,Serviços  de alimentação,,,,,,,,
2401618,ALGODAO DOCE,56001,Serviços  de alimentação,,,,,,,,
2401619,CANJICA,56001,Serviços  de alimentação,,,,,,,,
2401620,MUNGUNZA,56001,Serviços  de alimentação,,,,,,,,
2401621,CUZCUZ DOCE,56001,Serviços  de alimentação,,,,,,,,
2401622,AMENDOIM DOCE,56001,Serviços  de alimentação,,,,,,,,
2401623,BARRA DE CEREAL DOCE,56001,Serviços  de alimentação,,,,,,,,
2401624,BANANA FRITA COM MEL,56001,Serviços  de alimentação,,,,,,,,
2401625,CACAROLA,56001,Serviços  de alimentação,,,,,,,,
2401626,MINGAU,56001,Serviços  de alimentação,,,,,,,,
2401627,GELATINA,56001,Serviços  de alimentação,,,,,,,,
2401628,DOCE DE FRUTA EM CALDA,56001,Serviços  de alimentação,,,,,,,,
2401629,DOCE DE FRUTA EM PASTA,56001,Serviços  de alimentação,,,,,,,,
2401630,DOCE DE FRUTA CRISTALIZADO,56001,Serviços  de alimentação,,,,,,,,
2401631,BRIGADEIRO,56001,Serviços  de alimentação,,,,,,,,
2401632,MARIA MOLE,56001,Serviços  de alimentação,,,,,,,,
2401633,MANJAR,56001,Serviços  de alimentação,,,,,,,,
2401634,PAO DOCE,56001,Serviços  de alimentação,,,,,,,,
2401635,ROSCA DOCE,56001,Serviços  de alimentação,,,,,,,,
2401636,LEITE CONDENSADO,56001,Serviços  de alimentação,,,,,,,,
2401701,CAFEZINHO,56001,Serviços  de alimentação,,,,,,,,
2401702,CAFE EXPRESSO,56001,Serviços  de alimentação,,,,,,,,
2401703,CAPUCCINO,56001,Serviços  de alimentação,,,,,,,,
2401801,CAFE COM LEITE,56001,Serviços  de alimentação,,,,,,,,
